time T_d d2 
42.580188 282.352712 1.042398 
42.631 282.352718 1.042329 
42.681812 282.352723 1.04226 
42.732624 282.352728 1.042191 
42.783436 282.352733 1.042122 
42.834248 282.352738 1.042053 
42.88506 282.352743 1.041984 
42.935872 282.352748 1.041915 
42.986684 282.352753 1.041846 
43.037496 282.352758 1.041777 
43.088308 282.352763 1.041708 
43.13912 282.352767 1.041639 
43.189928 282.352772 1.04157 
43.24074 282.352777 1.041501 
43.291552 282.352782 1.041432 
43.342364 282.352786 1.041363 
43.393176 282.352791 1.041294 
43.443988 282.352795 1.041225 
43.4948 282.3528 1.041156 
43.545612 282.352805 1.041087 
43.596424 282.352809 1.041018 
43.647236 282.352813 1.040949 
43.698048 282.352818 1.04088 
43.74886 282.352822 1.040811 
43.799672 282.352827 1.040742 
43.850484 282.352831 1.040673 
43.901296 282.352835 1.040604 
43.952108 282.35284 1.040535 
44.00292 282.352844 1.040466 
44.053732 282.352848 1.040397 
44.10454 282.352852 1.040328 
44.155352 282.352856 1.040259 
44.206164 282.35286 1.04019 
44.256976 282.352864 1.040121 
